iter	Passed	Remaining
412	3174	4511
413	3181	4503
414	3188	4494
415	3195	4485
416	3201	4476
417	3209	4469
418	3216	4460
419	3224	4453
420	3231	4444
421	3239	4436
422	3246	4427
423	3253	4419
424	3259	4410
425	3266	4401
426	3274	4394
427	3281	4385
428	3288	4376
429	3295	4368
430	3302	4359
431	3309	4351
432	3316	4343
433	3323	4334
434	3330	4325
435	3337	4317
436	3344	4308
437	3351	4300
438	3358	4291
439	3365	4283
440	3372	4274
441	3379	4266
442	3386	4257
443	3393	4249
444	3400	4240
445	3407	4232
446	3413	4223
447	3420	4215
448	3427	4206
449	3435	4198
450	3442	4190
451	3449	4182
452	3456	4173
453	3464	4166
454	3470	4157
455	3478	4149
456	3485	4140
457	3492	4132
458	3499	4125
459	3506	4116
460	3514	4108
461	3520	4100
462	3527	4091
463	3535	4083
464	3541	4074
465	3549	4067
466	3556	4058
467	3563	4050
468	3570	4042
469	3577	4034
470	3584	4025
471	3591	4017
472	3598	4009
473	3605	4001
474	3613	3994
475	3620	3985
476	3628	3977
477	3635	3969
478	3642	3961
479	3649	3953
480	3656	3945
481	3664	3937
482	3670	3929
483	3678	3921
484	3685	3912
485	3692	3905
486	3699	3897
487	3706	3889
488	3713	3880
489	3720	3872
490	3727	3864
491	3734	3856
492	3742	3848
493	3748	3840
494	3756	3832
495	3763	3824
496	3770	3815
497	3777	3807
498	3783	3799
499	3791	3791
500	3797	3782
501	3805	3774
502	3812	3766
503	3818	3758
504	3826	3750
505	3833	3742
506	3840	3734
507	3847	3726
508	3854	3718
509	3861	3710
510	3868	3702
511	3875	3693
512	3882	3685
513	3890	3678
514	3896	3669
515	3904	3661
516	3910	3653
517	3918	3645
518	3925	3637
519	3932	3629
520	3939	3622
521	3946	3614
522	3954	3606
523	3961	3598
524	3968	3590
525	3975	3582
526	3982	3574
527	3989	3566
528	3996	3558
529	4004	3550
530	4012	3544
531	4021	3538
532	4030	3531
533	4038	3524
534	4047	3517
535	4054	3510
536	4063	3503
537	4071	3496
538	4080	3489
539	4088	3483
540	4096	3475
541	4104	3468
542	4113	3461
543	4121	3454
544	4130	3448
545	4139	3441
546	4146	3434
547	4153	3425
548	4161	3418
549	4168	3410
550	4175	3402
551	4183	3394
552	4190	3387
553	4197	3379
554	4204	3371
555	4211	3363
556	4218	3355
557	4225	3347
558	4232	3339
559	4240	3331
560	4246	3323
561	4253	3315
562	4260	3307
563	4267	3298
564	4274	3291
565	4281	3283
566	4289	3275
567	4296	3267
568	4303	3259
569	4309	3251
570	4316	3243
571	4323	3235
572	4330	3227
573	4337	3219
574	4344	3210
575	4351	3203
576	4358	3195
577	4365	3187
578	4372	3179
579	4383	3174
580	4391	3166
581	4398	3158
582	4405	3151
583	4412	3143
584	4421	3136
585	4428	3128
586	4435	3121
587	4442	3113
588	4450	3105
589	4457	3097
590	4464	3089
591	4471	3081
592	4477	3073
593	4485	3065
594	4491	3057
595	4499	3049
596	4506	3041
597	4514	3034
598	4520	3026
599	4528	3018
600	4534	3010
601	4541	3002
602	4548	2994
603	4555	2986
604	4563	2979
605	4570	2971
606	4577	2963
607	4584	2955
608	4591	2948
609	4599	2940
610	4605	2932
611	4613	2925
612	4620	2917
613	4627	2909
614	4635	2901
615	4642	2893
616	4649	2886
617	4656	2878
618	4664	2870
619	4671	2863
620	4678	2855
621	4685	2847
622	4692	2839
623	4699	2831
624	4706	2823
625	4713	2816
626	4720	2808
627	4727	2800
628	4734	2792
629	4741	2784
630	4748	2776
631	4759	2771
632	4766	2763
633	4774	2756
634	4781	2748
635	4788	2740
636	4795	2732
637	4801	2724
638	4809	2716
639	4816	2709
640	4823	2701
641	4829	2693
642	4836	2685
643	4843	2677
644	4850	2669
645	4858	2662
646	4864	2654
647	4872	2646
648	4879	2638
649	4885	2630
650	4893	2623
651	4900	2615
652	4908	2608
653	4915	2600
654	4921	2592
655	4928	2584
656	4935	2576
657	4942	2568
658	4949	2560
659	4956	2553
660	4963	2545
661	4971	2538
662	4977	2530
663	4985	2522
664	4992	2515
665	4999	2507
666	5006	2499
667	5013	2491
668	5020	2483
669	5026	2475
670	5034	2468
671	5041	2460
672	5048	2452
673	5054	2444
674	5061	2437
675	5068	2429
676	5075	2421
677	5083	2414
678	5090	2406
679	5097	2398
680	5104	2390
681	5110	2383
682	5117	2375
683	5124	2367
684	5131	2359
685	5138	2352
686	5146	2344
687	5153	2336
688	5161	2329
689	5168	2322
690	5175	2314
691	5183	2307
692	5190	2299
693	5198	2292
694	5205	2284
695	5212	2276
696	5218	2268
697	5225	2261
698	5233	2253
699	5240	2245
700	5248	2238
701	5254	2230
702	5262	2223
703	5268	2215
704	5276	2207
